model,dataset,parameters,accuracy,precision/black_bishop,precision/black_king,precision/black_knight,precision/black_pawn,precision/black_queen,precision/black_rook,precision/white_bishop,precision/white_king,precision/white_knight,precision/white_pawn,precision/white_queen,precision/white_rook,recall/black_bishop,recall/black_king,recall/black_knight,recall/black_pawn,recall/black_queen,recall/black_rook,recall/white_bishop,recall/white_king,recall/white_knight,recall/white_pawn,recall/white_queen,recall/white_rook,f1_score/black_bishop,f1_score/black_king,f1_score/black_knight,f1_score/black_pawn,f1_score/black_queen,f1_score/black_rook,f1_score/white_bishop,f1_score/white_king,f1_score/white_knight,f1_score/white_pawn,f1_score/white_queen,f1_score/white_rook,confusion_matrix/0/0,confusion_matrix/0/1,confusion_matrix/0/2,confusion_matrix/0/3,confusion_matrix/0/4,confusion_matrix/0/5,confusion_matrix/0/6,confusion_matrix/0/7,confusion_matrix/0/8,confusion_matrix/0/9,confusion_matrix/0/10,confusion_matrix/0/11,confusion_matrix/1/0,confusion_matrix/1/1,confusion_matrix/1/2,confusion_matrix/1/3,confusion_matrix/1/4,confusion_matrix/1/5,confusion_matrix/1/6,confusion_matrix/1/7,confusion_matrix/1/8,confusion_matrix/1/9,confusion_matrix/1/10,confusion_matrix/1/11,confusion_matrix/2/0,confusion_matrix/2/1,confusion_matrix/2/2,confusion_matrix/2/3,confusion_matrix/2/4,confusion_matrix/2/5,confusion_matrix/2/6,confusion_matrix/2/7,confusion_matrix/2/8,confusion_matrix/2/9,confusion_matrix/2/10,confusion_matrix/2/11,confusion_matrix/3/0,confusion_matrix/3/1,confusion_matrix/3/2,confusion_matrix/3/3,confusion_matrix/3/4,confusion_matrix/3/5,confusion_matrix/3/6,confusion_matrix/3/7,confusion_matrix/3/8,confusion_matrix/3/9,confusion_matrix/3/10,confusion_matrix/3/11,confusion_matrix/4/0,confusion_matrix/4/1,confusion_matrix/4/2,confusion_matrix/4/3,confusion_matrix/4/4,confusion_matrix/4/5,confusion_matrix/4/6,confusion_matrix/4/7,confusion_matrix/4/8,confusion_matrix/4/9,confusion_matrix/4/10,confusion_matrix/4/11,confusion_matrix/5/0,confusion_matrix/5/1,confusion_matrix/5/2,confusion_matrix/5/3,confusion_matrix/5/4,confusion_matrix/5/5,confusion_matrix/5/6,confusion_matrix/5/7,confusion_matrix/5/8,confusion_matrix/5/9,confusion_matrix/5/10,confusion_matrix/5/11,confusion_matrix/6/0,confusion_matrix/6/1,confusion_matrix/6/2,confusion_matrix/6/3,confusion_matrix/6/4,confusion_matrix/6/5,confusion_matrix/6/6,confusion_matrix/6/7,confusion_matrix/6/8,confusion_matrix/6/9,confusion_matrix/6/10,confusion_matrix/6/11,confusion_matrix/7/0,confusion_matrix/7/1,confusion_matrix/7/2,confusion_matrix/7/3,confusion_matrix/7/4,confusion_matrix/7/5,confusion_matrix/7/6,confusion_matrix/7/7,confusion_matrix/7/8,confusion_matrix/7/9,confusion_matrix/7/10,confusion_matrix/7/11,confusion_matrix/8/0,confusion_matrix/8/1,confusion_matrix/8/2,confusion_matrix/8/3,confusion_matrix/8/4,confusion_matrix/8/5,confusion_matrix/8/6,confusion_matrix/8/7,confusion_matrix/8/8,confusion_matrix/8/9,confusion_matrix/8/10,confusion_matrix/8/11,confusion_matrix/9/0,confusion_matrix/9/1,confusion_matrix/9/2,confusion_matrix/9/3,confusion_matrix/9/4,confusion_matrix/9/5,confusion_matrix/9/6,confusion_matrix/9/7,confusion_matrix/9/8,confusion_matrix/9/9,confusion_matrix/9/10,confusion_matrix/9/11,confusion_matrix/10/0,confusion_matrix/10/1,confusion_matrix/10/2,confusion_matrix/10/3,confusion_matrix/10/4,confusion_matrix/10/5,confusion_matrix/10/6,confusion_matrix/10/7,confusion_matrix/10/8,confusion_matrix/10/9,confusion_matrix/10/10,confusion_matrix/10/11,confusion_matrix/11/0,confusion_matrix/11/1,confusion_matrix/11/2,confusion_matrix/11/3,confusion_matrix/11/4,confusion_matrix/11/5,confusion_matrix/11/6,confusion_matrix/11/7,confusion_matrix/11/8,confusion_matrix/11/9,confusion_matrix/11/10,confusion_matrix/11/11
CNN100_3Conv_3Pool_3FC,train,14372884,0.9949404414650445,0.9955611921369689,0.9936406995230525,0.9835728952772074,0.9984825493171472,0.9756012547926106,0.9985939696922356,0.9955602536997886,0.9947703501591633,0.9746892655367232,0.9992178816943152,0.9838822704975473,0.9970344935227096,0.9792099792099792,0.9943181818181818,0.9937759336099585,0.9985644559287971,0.9950231070031994,0.994863813229572,0.9832950511589058,0.9943181818181818,0.9958439159547449,0.9969607359947429,0.9929278642149929,0.9959463673214842,0.9873178912063725,0.9939793252300352,0.9886480908152734,0.9985235009433188,0.9852164730728616,0.9967254015281459,0.9893896417690933,0.9945442145942259,0.9851530379168569,0.9980880327295902,0.9883843717001056,0.9964901333749318,4710,4,3,3,5,6,0,0,0,0,0,0,11,4375,6,0,5,5,0,1,0,0,0,0,29,1,4311,25,3,9,0,0,4,1,0,0,13,0,6,24346,0,1,1,0,3,13,0,0,32,19,8,1,2799,8,0,1,0,0,1,0,6,0,2,0,1,6392,0,0,0,0,0,0,8,0,0,0,0,1,4709,3,0,5,2,2,0,1,0,0,0,0,7,4375,1,2,8,4,0,0,2,2,0,0,30,6,4313,52,8,12,1,0,0,4,0,0,9,0,5,24274,0,0,0,0,0,0,0,0,23,10,4,1,2808,8,0,0,0,0,0,3,10,4,1,0,1,6388
CNN100_3Conv_3Pool_3FC,val,14372884,0.969046114971573,0.9371069182389937,0.971830985915493,0.9226190476190477,0.986284289276808,0.9052631578947369,0.9955156950672646,0.9506172839506173,0.958904109589041,0.8827160493827161,0.9949685534591195,0.9204545454545454,0.9732142857142857,0.9197530864197531,0.9452054794520548,0.96875,0.98875,0.9555555555555556,0.9910714285714286,0.9221556886227545,0.958904109589041,0.9533333333333334,0.9765432098765432,0.8901098901098901,0.990909090909091,0.9283489096573208,0.9583333333333334,0.9451219512195123,0.9875156054931336,0.9297297297297298,0.9932885906040269,0.9361702127659574,0.958904109589041,0.9166666666666666,0.9856697819314643,0.9050279329608938,0.9819819819819819,149,3,1,5,1,0,0,0,0,0,0,0,1,138,0,0,2,1,0,0,0,0,0,0,6,2,155,2,1,1,0,0,1,0,0,0,2,1,2,791,0,0,2,0,0,4,0,0,4,2,1,1,86,0,0,0,1,0,0,0,0,0,1,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,154,0,2,3,2,1,0,0,0,0,0,0,0,140,0,1,5,0,0,0,0,0,0,0,3,3,143,9,3,1,0,0,0,1,0,0,2,0,1,791,0,0,0,0,0,0,0,0,3,2,1,1,81,0,0,0,0,0,0,0,3,1,1,1,0,218
AlexNet,train,57053004,0.9950995470793512,0.9877466251298027,0.9862982929020665,0.9889528193325662,0.9970486965076242,0.9963221772710555,0.9987523393636931,0.9873496474491912,0.9947928458229568,0.9921441774491682,0.9970042678923178,0.995718872636461,0.99984375,0.9887733887733888,0.9979545454545454,0.9905486399262333,0.9976621139411838,0.9630287948809101,0.9967315175097277,0.9941532679056171,0.9986363636363637,0.99145693835142,0.9978232298340726,0.9869165487977369,0.9976613657623947,0.9882597402597403,0.9920921825576141,0.9897500863756766,0.9973553109047297,0.9793926247288504,0.9977409051959181,0.9907397773384663,0.9967108993988886,0.9918004388497517,0.9974135807537565,0.9912981708399929,0.9987513656937725,4756,4,5,5,37,7,1,0,0,0,0,0,5,4391,0,0,56,0,0,0,0,0,0,0,21,0,4297,9,7,9,0,0,0,2,0,0,21,2,25,24324,4,3,0,0,1,15,1,0,3,3,0,1,2709,2,0,0,0,0,1,0,3,0,5,0,0,6404,0,0,0,0,0,0,0,0,0,0,0,0,4761,2,10,30,13,6,0,0,0,0,0,0,1,4394,2,1,17,2,0,0,6,1,0,0,13,0,4294,5,4,5,1,0,0,41,0,0,7,0,23,24295,1,0,0,0,0,0,0,0,6,4,0,0,2791,2,0,0,0,0,0,0,0,0,1,0,0,6399
AlexNet,val,57053004,0.9902084649399874,0.9811320754716981,0.9931506849315068,0.9693251533742331,0.9925280199252802,1.0,1.0,0.9649122807017544,0.993103448275862,0.9736842105263158,0.9938347718865598,1.0,1.0,0.9629629629629629,0.9931506849315068,0.9875,0.99625,0.9666666666666667,0.9910714285714286,0.9880239520958084,0.9863013698630136,0.9866666666666667,0.9950617283950617,0.967032967032967,0.9954545454545455,0.9719626168224299,0.9931506849315068,0.978328173374613,0.9943855271366189,0.983050847457627,0.9955156950672646,0.9763313609467456,0.9896907216494845,0.9801324503311258,0.9944478716841455,0.9832402234636871,0.9977220956719818,156,1,0,1,1,0,0,0,0,0,0,0,0,145,0,0,1,0,0,0,0,0,0,0,2,0,158,0,1,2,0,0,0,0,0,0,3,0,2,797,0,0,0,0,0,1,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,2,3,1,0,0,0,0,0,0,0,144,1,0,0,0,0,0,0,0,0,0,1,2,148,1,0,0,1,0,0,2,0,0,1,0,1,806,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,219
InceptionV3,train,24377080,0.9997772521399705,1.0,0.9995455578277664,0.9993089149965446,0.9997949138638228,1.0,1.0,0.9997911445279867,0.9995455578277664,0.9997691064419303,0.9997946274542019,0.9996465182043125,0.9998441153546376,0.9995841995841996,0.9997727272727273,1.0,0.9997539067306509,0.9996445076430857,1.0,0.9995823762789726,0.9997727272727273,0.9997691064419303,0.9997125020535568,1.0,1.0,0.9997920565606155,0.9996591296443587,0.9996543380573799,0.9997744098767457,0.9998222222222222,1.0,0.9996867495040201,0.9996591296443587,0.9997691064419303,0.9997535630673183,0.9998232278592893,0.9999220516018396,4808,0,0,0,0,0,0,0,0,0,0,0,0,4399,0,1,1,0,0,0,0,0,0,0,2,0,4338,1,0,0,0,0,0,0,0,0,0,0,0,24375,0,0,0,0,0,5,0,0,0,0,0,0,2812,0,0,0,0,0,0,0,0,0,0,0,0,6425,0,0,0,0,0,0,0,0,0,0,0,0,4787,0,0,1,0,0,0,1,0,0,0,0,1,4399,0,0,0,0,0,0,0,0,0,0,0,0,4330,1,0,0,0,0,0,4,0,0,0,0,1,24341,0,0,0,0,0,0,0,0,0,1,0,0,2828,0,0,0,0,0,0,0,1,0,0,0,0,6414
InceptionV3,val,24377080,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,162,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,810,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,220
VGG,train,128821004,0.9984407649797936,0.9950341402855369,0.9993183367416496,0.9947211383979803,0.9986876102202354,0.9996414485478666,0.9992213050926647,0.9977030695343495,0.9993184915947296,0.9976889299745783,0.9987272130070619,1.0,0.9993767528825179,0.9997920997920998,0.9995454545454545,0.9990779160903642,0.9987695336532546,0.9911126910771418,0.9985992217898833,0.9977030695343495,0.9997727272727273,0.9967674901870238,0.999055363890258,0.9904526166902404,1.0,0.9974074458156176,0.9994318827405977,0.996894767107533,0.9987285702567468,0.9953588004284185,0.9989101665888215,0.9977030695343495,0.9995455578277663,0.9972279972279973,0.998891261498029,0.9952034109077988,0.9996882793017456,4809,0,1,4,8,2,9,0,0,0,0,0,0,4398,0,0,0,3,0,0,0,0,0,0,0,0,4334,10,4,2,0,0,6,1,0,0,0,2,1,24351,6,2,0,0,0,20,1,0,0,0,1,0,2788,0,0,0,0,0,0,0,0,0,0,0,5,6416,0,0,0,0,0,0,1,0,0,0,0,0,4778,0,0,0,10,0,0,0,0,0,0,0,0,4399,0,2,1,0,0,0,0,0,0,0,0,1,4317,0,9,0,0,0,0,16,2,0,2,0,7,24325,4,0,0,0,0,0,0,0,0,0,0,0,2801,0,0,0,1,0,0,0,0,0,1,0,2,6414
VGG,val,128821004,0.9993682880606444,1.0,1.0,1.0,0.9987515605493134,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.995475113122172,0.9938271604938271,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9933333333333333,1.0,1.0,1.0,0.9969040247678018,1.0,1.0,0.9993753903810119,1.0,1.0,1.0,1.0,0.9966555183946488,1.0,1.0,0.9977324263038548,161,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,1,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,810,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,1,0,0,220
CNN100_3Conv_3Pool_2FC,train,14125556,0.9962238934204525,0.9981116240033571,0.9961240310077519,0.9856065798492117,0.9986874487284659,0.9921456622634773,0.9976682729675113,0.9924906132665833,0.9958941605839416,0.9939520818795069,0.9969277404555137,0.9887323943661972,0.9982825917252147,0.988981288981289,0.9929545454545454,0.9944674965421854,0.99864648701858,0.9879132598649129,0.9989105058365759,0.993526832324076,0.9922727272727273,0.9866081736319556,0.999548217512732,0.9929278642149929,0.9968818210165263,0.9935254803675856,0.9945367630320965,0.9900172117039587,0.9986669674534978,0.9900249376558603,0.9982890029553586,0.9930084524679118,0.99408014571949,0.9902665121668598,0.998236259228876,0.9908256880733946,0.9975817146423277,4757,4,0,2,0,3,0,0,0,0,0,0,7,4369,0,0,10,0,0,0,0,0,0,0,18,11,4314,9,20,2,0,0,3,0,0,0,11,0,16,24348,0,1,0,0,0,4,0,0,7,11,2,1,2779,0,0,0,0,0,1,0,7,4,1,0,2,6418,0,0,0,0,0,1,0,0,0,0,0,0,4758,11,5,4,11,5,0,1,0,0,0,0,6,4366,5,0,5,1,1,0,4,2,0,0,1,6,4273,3,1,8,2,0,1,18,0,0,13,0,38,24337,0,3,0,0,0,1,2,0,6,15,6,0,2808,2,0,0,0,0,0,1,5,2,1,0,2,6394
CNN100_3Conv_3Pool_2FC,val,14125556,0.9693619709412508,0.9490445859872612,0.9513888888888888,0.9390243902439024,0.9899749373433584,0.9647058823529412,0.9778761061946902,0.937888198757764,0.9403973509933775,0.972027972027972,0.9782345828295043,0.9195402298850575,0.9641255605381166,0.9197530864197531,0.9383561643835616,0.9625,0.9875,0.9111111111111111,0.9866071428571429,0.9041916167664671,0.9726027397260274,0.9266666666666666,0.9987654320987654,0.8791208791208791,0.9772727272727273,0.9341692789968652,0.9448275862068966,0.9506172839506174,0.9887359198998749,0.9371428571428572,0.9822222222222223,0.9207317073170732,0.9562289562289562,0.9488054607508531,0.988393402565669,0.898876404494382,0.9706546275395034,149,5,1,0,2,0,0,0,0,0,0,0,2,137,0,0,3,1,1,0,0,0,0,0,1,1,154,5,2,0,1,0,0,0,0,0,5,0,2,790,0,0,0,0,0,1,0,0,1,1,0,0,82,1,0,0,0,0,0,0,1,2,1,0,0,221,0,0,0,0,0,1,1,0,0,1,0,0,151,2,3,0,3,0,0,0,0,0,0,0,1,142,0,0,8,0,0,0,2,0,0,0,2,0,139,0,0,0,1,0,0,3,0,0,4,0,7,809,0,3,0,0,0,1,1,0,3,1,0,0,80,1,1,0,0,0,0,1,4,1,1,0,0,215
ResNet,train,11182668,0.9992681141741888,0.998546813369317,0.9993181818181818,0.9993082776112521,0.9989752418429251,1.0,0.9996887159533074,0.9993731717509402,0.9993183367416496,0.998846331333641,0.9995478646882322,0.9978813559322034,0.9998441153546376,1.0,0.9993181818181818,0.9990779160903642,0.9995898445510849,0.9971560611446854,0.9996887159533074,0.998747128836918,0.9995454545454545,0.9995382128838606,0.9987678659438147,0.9992927864214993,1.0,0.9992728783629377,0.9993181818181818,0.9991930835734871,0.9992824486950818,0.9985760056959773,0.9996887159533074,0.999060052219321,0.9994318827405977,0.999192152336988,0.9991577130883169,0.9985865724381625,0.9999220516018396,4810,0,1,0,3,0,2,0,0,1,0,0,0,4397,0,0,3,0,0,0,0,0,0,0,0,0,4334,0,0,1,0,0,1,1,0,0,0,3,2,24371,1,0,0,0,0,19,0,0,0,0,0,0,2805,0,0,0,0,0,0,0,0,0,1,0,1,6423,0,0,0,0,0,0,0,0,0,0,0,0,4783,0,0,2,1,0,0,0,0,0,0,0,1,4398,0,1,1,0,0,0,0,0,0,0,3,0,4329,2,0,0,0,0,0,10,0,0,0,1,0,24318,0,0,0,0,0,0,0,0,0,1,1,4,2826,0,0,0,0,0,0,1,0,0,0,0,0,6414
ResNet,val,11182668,0.9990524320909665,1.0,1.0,1.0,0.9975031210986267,1.0,1.0,1.0,1.0,1.0,0.9987639060568603,1.0,1.0,1.0,1.0,1.0,0.99875,1.0,1.0,1.0,1.0,1.0,0.9975308641975309,1.0,1.0,1.0,1.0,1.0,0.9981261711430357,1.0,1.0,1.0,1.0,1.0,0.9981470043236566,1.0,1.0,162,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,799,0,0,0,0,0,2,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,1,0,0,0,0,0,808,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,220
